Symbols
AARTIIND.NS
ABB.NS
ABBOTINDIA.NS
ABCAPITAL.NS
ABFRL.NS
ACC.NS
ADANIENT.NS
ADANIPORTS.NS
ALKEM.NS
AMBUJACEM.NS
APOLLOHOSP.NS
APOLLOTYRE.NS
ASHOKLEY.NS
ASIANPAINT.NS
ASTRAL.NS
ATUL.NS
AUBANK.NS
AUROPHARMA.NS
AXISBANK.NS
BAJAJ-AUTO.NS
BAJAJFINSV.NS
BAJFINANCE.NS
BALKRISIND.NS
BALRAMCHIN.NS
BANDHANBNK.NS
BANKBARODA.NS
BATAINDIA.NS
BEL.NS
BERGEPAINT.NS
BHARATFORG.NS
BHARTIARTL.NS
BHEL.NS
BIOCON.NS
BOSCHLTD.NS
BPCL.NS
BRITANNIA.NS
BSOFT.NS
CANBK.NS
CANFINHOME.NS
CHAMBLFERT.NS
CHOLAFIN.NS
CIPLA.NS
COALINDIA.NS
COFORGE.NS
COLPAL.NS
CONCOR.NS
COROMANDEL.NS
CROMPTON.NS
CUB.NS
CUMMINSIND.NS
DABUR.NS
DALBHARAT.NS
DEEPAKNTR.NS
DELTACORP.NS
DIVISLAB.NS
DIXON.NS
DLF.NS
DRREDDY.NS
EICHERMOT.NS
ESCORTS.NS
EXIDEIND.NS
FEDERALBNK.NS
GAIL.NS
GLENMARK.NS
GMRINFRA.NS
GODREJCP.NS
GODREJPROP.NS
GRANULES.NS
GRASIM.NS
GUJGASLTD.NS
GNFC.NS
HAL.NS
HAVELLS.NS
HCLTECH.NS
HDFCAMC.NS
HDFCBANK.NS
HDFCLIFE.NS
HEROMOTOCO.NS
HINDALCO.NS
HINDCOPPER.NS
HINDPETRO.NS
HINDUNILVR.NS
SAMMAANCAP.NS
ICICIBANK.NS
ICICIGI.NS
ICICIPRULI.NS
IDEA.NS
IDFCFIRSTB.NS
IEX.NS
IGL.NS
INDHOTEL.NS
INDIACEM.NS
INDIAMART.NS
INDIGO.NS
INDUSINDBK.NS
INDUSTOWER.NS
INFY.NS
INTELLECT.NS
IOC.NS
IPCALAB.NS
IRCTC.NS
ITC.NS
JINDALSTEL.NS
JKCEMENT.NS
JSWSTEEL.NS
JUBLFOOD.NS
KOTAKBANK.NS
LTF.NS
LALPATHLAB.NS
LAURUSLABS.NS
LICHSGFIN.NS
LT.NS
LTIM.NS
LTTS.NS
LUPIN.NS
M&M.NS
M&MFIN.NS
MANAPPURAM.NS
MARICO.NS
MARUTI.NS
UNITDSPR.NS
MCX.NS
METROPOLIS.NS
MFSL.NS
MGL.NS
MOTHERSON.NS
MPHASIS.NS
MRF.NS
MUTHOOTFIN.NS
NATIONALUM.NS
NAUKRI.NS
NAVINFLUOR.NS
NESTLEIND.NS
NMDC.NS
NTPC.NS
OBEROIRLTY.NS
OFSS.NS
ONGC.NS
PAGEIND.NS
PEL.NS
PERSISTENT.NS
PETRONET.NS
PFC.NS
PIDILITIND.NS
PIIND.NS
PNB.NS
POLYCAB.NS
POWERGRID.NS
PVRINOX.NS
RAIN.NS
RAMCOCEM.NS
RBLBANK.NS
RECLTD.NS
RELIANCE.NS
SAIL.NS
SBICARD.NS
SBILIFE.NS
SBIN.NS
SHREECEM.NS
SHRIRAMFIN.NS
SIEMENS.NS
SRF.NS
SUNPHARMA.NS
SUNTV.NS
SYNGENE.NS
TATACHEM.NS
TATACOMM.NS
TATACONSUM.NS
TATAMOTORS.NS
TATAPOWER.NS
TATASTEEL.NS
TCS.NS
TECHM.NS
TITAN.NS
TORNTPHARM.NS
TRENT.NS
TVSMOTOR.NS
UBL.NS
ULTRACEMCO.NS
UPL.NS
VEDL.NS
VOLTAS.NS
WIPRO.NS
ZEEL.NS
ZYDUSLIFE.NS
